"gamma","epsilon","c","test_r2"
"27.88172","0.022583423","2.2727098","0.20600901200988864"
"1.2373267","0.72618264","12.473422","0.2047411004993115"
"32.546047","0.38143224","2.3675358","0.2040587915459915"
"67.75501","0.091641866","4.0727873","0.20249674133014484"
"30.369648","0.11430797","2.2944648","0.20227783730974813"
"0.90923923","0.652425","16.341383","0.19859558987371384"
"3.2293043","0.12237635","5.1686687","0.19304710004701664"
"76.77268","0.1695008","4.4886937","0.1879207708656705"
"10.060202","0.030891769","2.3678396","0.18497292734163528"
"0.14925644","0.30275303","88.65696","0.17783593402819842"
"1.7521814","0.012680747","8.357493","0.17583703263424155"
"4.336936","0.026131246","3.9086692","0.1749968845166916"
"0.18369402","0.2271674","69.93504","0.17198944709317943"
"18.446154","0.021103673","1.8872921","0.1687054042140943"
"1.7031218","0.08141973","7.924795","0.16343026923942316"
"12.934191","0.10590942","1.9890904","0.16163424527554215"
"0.9839108","0.44393563","12.923296","0.16139532596746342"
"1.3384374","0.2023534","9.701688","0.16079200988521258"
"96.772675","0.030556263","5.697517","0.16054638555332168"
"1.3860729","0.13804479","9.078884","0.1566797706000952"
"1.8417976","0.48709616","6.8455086","0.15298159640930786"
"6.505869","0.033351228","2.6067002","0.15204519126158333"
"0.14781974","0.017327677","76.2779","0.15129016288740815"
"0.29944363","0.5277535","37.032486","0.146178275475511"
"28.776726","0.6900011","1.765518","0.1430611497213471"
"2.6182766","0.030415801","4.759381","0.13939828453613035"
"0.13648562","0.23036207","78.86222","0.13862256152174346"
"44.783234","0.66896087","2.1339157","0.13853450797036926"
"57.72086","0.36125523","2.5607147","0.1359037220507875"
"0.14642972","0.52765805","72.79355","0.13548488246430823"
"0.21936217","0.63564473","48.153015","0.13415145919293636"
"95.95477","0.023190062","4.7176905","0.12723644201184214"
"0.12728082","0.016214771","80.42802","0.1254083267819317"
"17.51486","0.24994941","1.5570633","0.12403685659216457"
"13.758415","0.34998348","1.5981944","0.12253997736451439"
"1.7364635","0.037985474","6.3032146","0.12015058524201983"
"18.648012","0.4971773","1.5301647","0.1199510626352206"
"1.681361","0.19001926","6.325108","0.11722600745789546"
"0.5148082","0.023927793","19.111448","0.11423959804677675"
"0.84209645","0.22938818","11.333334","0.1075407951768107"
"0.1289528","0.21574737","70.84985","0.10739620473104006"
"4.0734553","0.014751717","2.8771212","0.1072448398230702"
"0.2903326","0.019731179","31.967293","0.1063704779382707"
"0.86183417","0.032625344","10.689954","0.09912693118805749"
"7.2376432","0.016572306","1.8573054","0.09757713471576424"
"1.0002295","0.17550132","9.1780815","0.0957338906401769"
"1.3915025","0.020747185","6.7045326","0.09507159431183798"
"0.09133001","0.24845135","93.43645","0.09169124217796176"
"8.7480135","0.06801553","1.6031976","0.08971663029012367"
"0.1352302","0.56358594","62.331486","0.08583621465936764"
"1.108414","0.07968334","7.831499","0.08537708270662858"
"1.3442787","0.08459925","6.528926","0.0847269787214302"
"3.5774739","0.5187376","2.87615","0.08369448322413775"
"3.3937523","0.04292349","2.8741033","0.081895381426628"
"15.252911","0.9664827","1.2718507","0.08018602186458701"
"35.560947","0.030654408","1.3681731","0.07836040106650455"
"5.7721086","0.16091377","1.915587","0.07796723672926364"
"0.19057617","0.019331643","40.80028","0.0774882001583116"
"4.343961","0.1286918","2.3262846","0.07745759420793641"
"0.15067334","0.010003742","51.132423","0.07651364449365694"
"0.2451792","0.29788056","31.914295","0.0750027442157406"
"0.08924369","0.02685377","84.88566","0.07426475447815617"
"0.17483939","0.027093181","42.565258","0.07049475253613269"
"0.17846604","0.013267596","41.08938","0.06716714863946771"
"6.303516","0.047183238","1.6765621","0.06707550964794107"
"1.3476765","0.39273572","5.9237223","0.06619659906003039"
"0.7116408","0.9494456","11.132105","0.0652988958490126"
"0.96875495","0.39801458","7.8743052","0.061377604423726195"
"82.02932","0.04426553","2.6685348","0.05809414401935176"
"2.2336495","0.7668647","3.6789525","0.05793426820226"
"19.567463","0.020564994","1.011214","0.054116201649768936"
"0.48737183","0.4631268","14.908054","0.05244074507417229"
"37.23003","0.34080392","1.1257954","0.045844439863235165"
"1.3312552","0.01670252","5.569269","0.044710334112523786"
"42.849556","0.1741786","1.2006747","0.04395837454962359"
"1.1627734","0.91554546","6.2362933","0.04394641076003181"
"0.116927505","0.04441635","58.17164","0.041348784731465194"
"1.3724337","0.031705786","5.307357","0.040540630853953874"
"0.42872915","0.032595932","16.065376","0.040076735448873246"
"1.2933437","0.088862285","5.4181395","0.03309723594765701"
"0.26814693","0.08414332","24.644186","0.03297602107770958"
"14.706976","0.41345468","0.9490595","0.031911350984615505"
"1.2931015","0.1694458","5.3920865","0.031102891314493508"
"3.786534","0.0224232","2.0874584","0.030112255260480114"
